Patient 1, time: 0; ecg1: 0.635, ecg2: -0.64
Patient 1, time: 0.004; ecg1: 0.68, ecg2: -1.28
Patient 1, time: 0.008; ecg1: 0.63, ecg2: -1.92
Patient 1, time: 0.012; ecg1: 0.57, ecg2: -2.535
Patient 1, time: 0.016; ecg1: 0.535, ecg2: -2.8
Patient 1, time: 0.02; ecg1: 0.51, ecg2: -2.9
Patient 1, time: 0.024; ecg1: 0.515, ecg2: -2.99
Patient 1, time: 0.028; ecg1: 0.52, ecg2: -3.03
Patient 1, time: 0.032; ecg1: 0.525, ecg2: -3.025
Patient 1, time: 0.036; ecg1: 0.495, ecg2: -2.975
Patient 1, time: 0.04; ecg1: 0.43, ecg2: -2.825
Patient 1, time: 0.044; ecg1: 0.275, ecg2: -2.565
Patient 1, time: 0.048; ecg1: 0.195, ecg2: -2.305
Patient 1, time: 0.052; ecg1: 0.2, ecg2: -2.05
Patient 1, time: 0.056; ecg1: 0.26, ecg2: -1.835
Patient 1, time: 0.06; ecg1: 0.355, ecg2: -1.695
Patient 1, time: 0.064; ecg1: 0.37, ecg2: -1.59
Patient 1, time: 0.068; ecg1: 0.315, ecg2: -1.465
Patient 1, time: 0.072; ecg1: 0.155, ecg2: -1.29
Patient 1, time: 0.076; ecg1: -0.035, ecg2: -1.075
Patient 1, time: 0.08; ecg1: -0.17, ecg2: -0.87
Patient 1, time: 0.084; ecg1: -0.255, ecg2: -0.66
Patient 1, time: 0.088; ecg1: -0.265, ecg2: -0.535
Patient 1, time: 0.092; ecg1: -0.29, ecg2: -0.43
Patient 1, time: 0.096; ecg1: -0.3, ecg2: -0.335
Patient 1, time: 0.1; ecg1: -0.335, ecg2: -0.22
Patient 1, time: 0.104; ecg1: -0.365, ecg2: -0.08
Patient 1, time: 0.108; ecg1: -0.385, ecg2: 0.015
Patient 1, time: 0.112; ecg1: -0.355, ecg2: 0.1
Patient 1, time: 0.116; ecg1: -0.355, ecg2: 0.145
Patient 1, time: 0.12; ecg1: -0.36, ecg2: 0.14
Patient 1, time: 0.124; ecg1: -0.34, ecg2: 0.15
Patient 1, time: 0.128; ecg1: -0.36, ecg2: 0.155
Patient 1, time: 0.132; ecg1: -0.37, ecg2: 0.165
Patient 1, time: 0.136; ecg1: -0.35, ecg2: 0.17
Patient 1, time: 0.14; ecg1: -0.365, ecg2: 0.2
Patient 1, time: 0.144; ecg1: -0.345, ecg2: 0.215
Patient 1, time: 0.148; ecg1: -0.365, ecg2: 0.2
Patient 1, time: 0.152; ecg1: -0.325, ecg2: 0.215
Patient 1, time: 0.156; ecg1: -0.335, ecg2: 0.22
Patient 1, time: 0.16; ecg1: -0.345, ecg2: 0.21
Patient 1, time: 0.164; ecg1: -0.35, ecg2: 0.25
Patient 1, time: 0.168; ecg1: -0.385, ecg2: 0.235
Patient 1, time: 0.172; ecg1: -0.355, ecg2: 0.255
Patient 1, time: 0.176; ecg1: -0.365, ecg2: 0.28
Patient 1, time: 0.18; ecg1: -0.35, ecg2: 0.275
Patient 1, time: 0.184; ecg1: -0.35, ecg2: 0.275
Patient 1, time: 0.188; ecg1: -0.34, ecg2: 0.325
Patient 1, time: 0.192; ecg1: -0.36, ecg2: 0.305
Patient 1, time: 0.196; ecg1: -0.36, ecg2: 0.33
Patient 1, time: 0.2; ecg1: -0.385, ecg2: 0.325
Patient 1, time: 0.204; ecg1: -0.385, ecg2: 0.345
Patient 1, time: 0.208; ecg1: -0.39, ecg2: 0.35
